DATEPRD,NPD_WELL_BORE_CODE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,AVG_DOWNHOLE_PRESSURE,AVG_WELLHEAD_PRESSURE,AVG_TEMPERATURE,AVG_CHOKE_SIZE_P
2014-01-26,F-1C,1983.48,3199.84,425.74,3000.575,876.04,186.32,51.73
2014-01-27,F-1C,1969.34,3367.48,418.72,3432.15,877.18,185.56,49.29
2014-01-28,F-1C,1946.65,3360.98,430.97,3426.56,891.29,186.7,49.53
2014-01-29,F-1C,2021.93,3304.19,447.91,3438.47,836.61,189.0,55.05
2014-01-30,F-1C,1935.63,3320.35,436.95,3406.02,872.99,189.11,51.92
2014-01-31,F-1C,2029.14,3370.98,437.8,3409.41,832.27,183.24,52.86
2014-02-01,F-1C,1916.58,3284.68,423.81,3000.575,862.23,185.41,52.05
2014-02-02,F-1C,1911.5,3256.99,467.05,3405.63,865.84,183.7,58.95
2014-02-03,F-1C,2045.11,3388.79,453.76,3401.05,863.45,188.34,50.56
2014-02-04,F-1C,1767.49,3138.02,478.31,3301.76,851.24,184.64,50.57
2014-02-04,F-1C,1927.51,3142.13,423.1,3449.25,847.69,185.6,52.81
2014-02-06,F-1C,1906.8,3165.16,436.48,3453.22,853.51,184.37,47.87
2014-02-07,F-1C,1934.89,3103.91,416.57,3442.17,880.13,185.98,50.5
2014-02-07,F-1C,1541.25,2722.2,629.93,3239.01,810.63,188.57,50.75
2014-02-08,F-1C,1939.88,3447.3,452.01,3422.0,849.38,186.36,53.86
2014-02-09,F-1C,1940.08,3103.64,470.87,3375.07,895.42,187.61,52.14
2014-02-10,F-1C,1952.57,3242.72,436.88,3398.58,870.66,185.31,50.12
2014-02-11,F-1C,1909.65,3323.53,477.0,3402.03,864.35,184.98,54.4
2014-02-13,F-1C,1899.13,3206.69,455.87,3000.575,870.87,185.19,54.56
2014-02-14,F-1C,1905.99,3303.63,446.57,3369.24,890.26,188.37,46.38
2014-02-15,F-1C,1892.46,2130.33,429.4,3409.58,865.12,184.84,51.66
2014-02-16,F-1C,1807.15,3368.93,448.49,3409.39,863.82,188.96,49.96
2014-02-17,F-1C,1918.7,3268.02,473.47,3418.73,841.75,184.91,55.89
2014-02-18,F-1C,1803.52,3344.9,451.32,3382.79,837.42,186.14,55.05
2014-02-19,F-1C,1940.79,3254.72,460.49,3338.38,3839.137,185.55,53.3
2014-02-20,F-1C,1902.61,3290.0,469.53,3382.2,896.11,187.05,50.44
2014-02-21,F-1C,1989.0,3303.37,497.72,3376.06,869.88,183.33,54.52
2014-02-22,F-1C,1885.0,3094.95,483.4,3323.91,811.87,186.96,53.36
2014-02-23,F-1C,1938.31,3258.74,493.63,3398.04,847.24,186.09,51.07
2014-02-24,F-1C,1901.45,3107.62,472.26,3373.26,855.16,186.8,44.37
2014-02-25,F-1C,1098.71,3182.75,465.67,3382.46,855.46,189.27,52.35
2014-02-26,F-1C,1864.83,3059.55,904.67,3389.57,870.38,189.32,49.06
2014-02-27,F-1C,1862.2,3202.91,510.42,3375.77,879.96,186.58,54.99
2014-02-28,F-1C,1925.64,3192.86,450.41,3363.07,878.48,188.0,50.55
2014-03-01,F-1C,1854.12,3037.15,904.67,3396.55,845.73,186.64,44.98
2014-03-02,F-1C,1843.82,3278.44,493.14,3378.71,847.94,187.83,50.6
2014-03-03,F-1C,1781.86,3167.24,482.92,3401.29,819.17,185.99,50.9
2014-03-04,F-1C,1806.97,3202.82,491.15,3357.71,888.86,185.6,49.92
2014-03-06,F-1C,1850.82,3159.32,489.18,3400.22,864.31,185.0,49.27
2014-03-07,F-1C,1881.84,3108.24,455.67,3434.12,840.84,186.13,45.05
2014-03-08,F-1C,1892.4,3069.07,482.15,3390.78,827.37,186.4,56.25
2014-03-09,F-1C,1723.95,3079.35,464.83,3000.575,845.62,184.12,48.88
2014-03-09,F-1C,1098.71,2478.81,737.38,3156.76,810.86,188.02,47.65
2014-03-10,F-1C,1805.09,3112.22,488.64,3386.68,867.45,187.55,48.63
2014-03-11,F-1C,1840.56,3326.33,505.91,3344.97,877.75,185.46,49.42
2014-03-12,F-1C,1172.138033,2193.635332,834.64,2993.64,756.45,186.39,52.63
2014-03-12,F-1C,1172.08,2195.68,834.64,2993.64,756.45,186.39,52.63
2014-03-13,F-1C,1822.76,3091.94,475.79,3344.38,837.36,184.58,49.7
2014-03-14,F-1C,1706.53,3179.47,497.46,3000.575,850.14,186.79,48.58
2014-03-15,F-1C,1802.03,3163.07,904.67,3414.78,877.55,188.11,48.95
2014-03-16,F-1C,1797.43,3036.76,497.94,3270.07,835.75,185.63,46.64
2014-03-17,F-1C,1862.55,3021.92,499.04,3434.63,812.47,185.94,50.31
2014-03-18,F-1C,1789.57,3169.99,517.16,3373.09,829.98,191.11,45.86
2014-03-19,F-1C,1765.05,3118.88,498.17,3363.41,875.82,186.0,51.39
2014-03-20,F-1C,1783.97,3148.5,491.35,3338.02,854.85,186.13,44.52
2014-03-21,F-1C,1828.75,3075.96,518.02,3338.91,869.76,184.89,44.68
2014-03-22,F-1C,1860.32,3026.24,468.81,3345.71,838.72,187.89,54.2
2014-03-23,F-1C,1809.55,3019.08,507.5,3349.01,854.65,184.49,50.07
2014-03-24,F-1C,1827.28,3185.8,522.42,3345.34,833.28,187.05,48.09
2014-03-25,F-1C,1758.0,3202.96,512.49,3331.27,859.38,188.81,49.68
2014-03-26,F-1C,1774.52,3034.12,525.07,3369.73,870.28,188.26,46.2
2014-03-27,F-1C,1806.99,2989.83,496.88,3344.46,859.04,184.46,44.28
2014-03-28,F-1C,1098.71,3282.15,504.43,3339.57,877.73,187.42,51.87
2014-03-29,F-1C,1809.16,3086.86,487.03,3296.74,879.59,186.61,51.57
2014-03-30,F-1C,1779.61,3125.51,561.95,3351.53,829.85,185.97,54.33
2014-03-31,F-1C,1752.05,3127.38,466.11,3327.73,853.94,188.78,48.53
2014-04-01,F-1C,1703.13,3034.53,491.36,3328.98,841.01,183.6,53.15
2014-04-03,F-1C,1772.46,3060.43,503.0,3335.58,825.02,187.59,50.74
2014-04-04,F-1C,1777.27,3249.57,495.76,3371.58,787.25,182.08,47.39
2014-04-05,F-1C,1707.74,3056.47,525.04,3321.1,837.2,187.3,53.26
2014-04-06,F-1C,1607.66,2856.23,597.29,3290.64,784.0,192.12,47.65
2014-04-06,F-1C,1697.38,3007.43,519.2,3342.12,824.51,186.06,50.8
2014-04-07,F-1C,1725.59,2974.33,523.91,3000.575,849.73,184.13,49.8
2014-04-08,F-1C,1746.46,3093.92,504.47,3332.25,844.54,189.53,47.93
2014-04-10,F-1C,1664.5,3081.76,497.71,3360.25,795.62,182.73,48.91
2014-04-11,F-1C,1797.86,3015.01,520.6,3362.05,881.88,187.58,49.34
2014-04-12,F-1C,1725.49,2910.64,530.68,3271.61,849.58,190.25,53.01
2014-04-13,F-1C,1720.07,3052.11,562.42,3366.43,818.23,187.26,50.35
2014-04-14,F-1C,1781.0,3036.88,483.96,3307.7,842.04,183.37,52.87
2014-04-15,F-1C,1661.61,2938.57,559.52,3290.45,849.31,182.73,56.78
2014-04-16,F-1C,1719.73,3006.32,537.62,3334.01,807.21,186.23,48.85
2014-04-17,F-1C,1647.63,3073.92,528.35,3321.88,840.96,185.57,56.39
2014-04-18,F-1C,1726.9,2866.57,528.73,3328.42,847.78,184.06,53.65
2014-04-19,F-1C,1638.28,3079.0,511.69,3305.46,858.18,186.48,52.87
2014-04-20,F-1C,1754.52,3086.63,560.67,3297.46,849.31,183.19,50.82
2014-04-21,F-1C,1761.68,2990.71,549.7,3303.5,859.0,186.08,49.64
2014-04-22,F-1C,1762.25,2863.87,552.14,3277.44,861.74,185.72,51.44
2014-04-23,F-1C,1735.73,2818.18,530.45,3338.85,853.3,186.81,46.85
2014-04-24,F-1C,1741.56,3025.91,545.75,3343.06,822.04,185.22,43.48
2014-04-25,F-1C,1755.47,2990.24,512.51,3252.43,818.02,187.83,50.1
2014-04-26,F-1C,1666.43,2880.93,526.48,3245.99,811.09,184.1,52.61
2014-04-27,F-1C,1695.58,2891.67,595.03,3282.91,858.34,189.48,45.99
2014-04-28,F-1C,1704.76,2912.62,538.21,3318.31,774.85,186.13,50.24
2014-04-29,F-1C,1679.6,2856.44,567.45,3331.93,841.4,185.49,48.51
2014-04-30,F-1C,1660.3,3135.22,571.63,3274.09,837.58,185.51,52.28
2014-05-01,F-1C,1719.87,3029.63,537.21,3301.26,799.08,183.73,53.48
2014-05-02,F-1C,1642.38,2871.99,555.4,3317.78,812.6,179.28,47.83
2014-05-02,F-1C,1865.92,3347.23,465.21,3409.56,887.16,183.59,57.08
2014-05-03,F-1C,1835.19,3094.63,466.36,3322.23,843.69,186.35,44.55
2014-05-03,F-1C,1747.42,2963.03,583.39,3261.81,800.79,187.16,51.68
2014-05-04,F-1C,1699.65,3006.55,566.69,3306.75,847.65,187.24,53.29
2014-05-05,F-1C,1098.71,3050.77,546.62,3307.82,825.7,184.57,48.82
2014-05-06,F-1C,1703.59,2958.03,568.96,3285.45,832.94,187.88,46.27
2014-05-08,F-1C,1653.26,2960.29,564.6,3326.14,803.57,186.59,51.72
2014-05-09,F-1C,1661.27,2130.33,557.72,3293.93,795.96,188.17,49.09
2014-05-10,F-1C,1674.23,2939.31,555.81,3283.58,791.22,187.7,53.84
2014-05-11,F-1C,1214.51,2313.0,803.1,3039.71,798.59,186.98,48.45
2014-05-11,F-1C,1580.05,2873.78,543.08,3281.0,844.66,188.21,53.49
2014-05-12,F-1C,1727.89,2884.87,546.08,3281.72,844.12,183.79,55.84
2014-05-13,F-1C,1704.53,2882.5,556.15,3263.91,832.7,185.78,53.6
2014-05-14,F-1C,1639.76,2935.83,571.13,3290.89,826.38,187.66,52.59
2014-05-15,F-1C,1677.18,2940.36,554.17,3291.32,855.73,187.22,47.52
2014-05-16,F-1C,1648.98,2918.13,559.25,3239.7,824.19,184.76,50.43
2014-05-17,F-1C,1569.19,2929.69,563.05,3309.14,824.74,186.19,49.55
2014-05-18,F-1C,1611.64,3078.68,567.17,3308.8,808.17,186.98,51.72
2014-05-19,F-1C,1642.14,2831.6,573.17,3264.81,877.84,186.19,52.01
2014-05-20,F-1C,1729.73,2803.57,580.53,3267.66,827.84,185.88,48.68
2014-05-21,F-1C,1647.72,2785.06,600.9,3293.26,819.46,185.35,51.29
2014-05-22,F-1C,1595.34,3011.43,589.63,3285.18,842.72,185.08,53.47
2014-05-23,F-1C,1638.3,2938.88,579.86,3311.72,836.88,190.6,49.31
2014-05-24,F-1C,1640.12,2776.75,574.57,3289.58,851.21,192.17,50.14
2014-05-25,F-1C,1580.56,2915.96,563.95,3286.77,818.34,186.66,53.4
2014-05-26,F-1C,1619.01,2926.74,605.31,3212.74,810.12,183.12,56.33
2014-05-27,F-1C,1616.61,2990.99,556.54,3250.31,843.92,186.6,51.91
2014-05-28,F-1C,1556.52,2955.09,606.08,3278.36,813.96,186.89,49.13
2014-05-29,F-1C,1534.03,2837.34,588.75,3297.01,782.75,186.71,46.43
2014-05-30,F-1C,1629.86,2867.75,591.5,3288.18,802.29,186.13,48.25
2014-05-31,F-1C,1533.45,2812.45,552.67,3270.4,821.78,188.71,51.84
2014-06-01,F-1C,1539.0,2763.62,606.34,3287.01,851.18,188.67,49.65
2014-06-02,F-1C,1624.09,2931.03,591.2,3271.81,819.96,185.14,50.49
2014-06-03,F-1C,1568.94,2813.11,577.91,3253.55,835.23,185.06,50.1
2014-06-05,F-1C,1618.23,2741.41,614.19,3265.19,812.77,188.39,49.82
2014-06-06,F-1C,1622.8,2739.58,602.03,3315.81,844.81,186.86,48.99
2014-06-07,F-1C,1596.19,2825.22,612.98,3222.23,838.68,184.06,55.1
2014-06-07,F-1C,1595.179307,2823.08435,612.98,3222.23,838.68,184.06,55.1
2014-06-08,F-1C,1481.79,2452.83,688.11,3214.85,807.24,185.5,50.84
2014-06-08,F-1C,1551.62,2829.61,625.44,3245.78,831.89,189.11,51.68
2014-06-09,F-1C,1605.36,2667.57,588.01,3283.59,836.24,187.68,52.16
2014-06-10,F-1C,1649.47,2777.92,610.44,3220.14,799.04,182.95,47.82
2014-06-12,F-1C,1098.71,2914.51,565.74,3228.15,825.31,188.49,49.04
2014-06-13,F-1C,1576.18,2695.74,581.41,3290.83,787.41,190.9,52.28
2014-06-14,F-1C,1608.59,2830.81,608.36,3258.05,819.88,187.35,50.17
2014-06-15,F-1C,1524.49,2711.63,595.07,3274.24,811.07,182.42,51.04
2014-06-16,F-1C,1645.15,2839.62,604.03,3196.33,820.5,185.92,47.55
2014-06-17,F-1C,1594.4,2922.01,621.89,3247.57,804.2,189.03,49.97
2014-06-18,F-1C,1535.32,2775.88,628.23,3245.75,846.84,187.01,49.05
2014-06-19,F-1C,1581.76,2807.27,594.21,3274.88,816.46,185.69,49.52
2014-06-20,F-1C,1596.49,2707.75,637.54,3222.41,858.63,184.58,50.87
2014-06-21,F-1C,1517.47,2938.15,598.07,3253.77,3741.8355,185.53,55.9
2014-06-22,F-1C,1615.25,2886.73,593.43,3244.9,850.96,182.87,52.67
2014-06-23,F-1C,1551.36,2786.55,610.07,3192.62,791.19,188.19,50.19
2014-06-24,F-1C,1564.05,2707.19,594.4,3251.41,799.28,184.82,50.8
2014-06-25,F-1C,1536.5,2685.73,754.59,3122.09,835.09,188.3,50.34
2014-06-26,F-1C,1566.97,2912.42,606.1,3122.09,834.72,190.13,50.33
2014-06-27,F-1C,1627.64,2747.25,617.28,3201.25,833.17,184.41,51.42
2014-06-28,F-1C,1617.94,2711.55,658.52,3193.36,809.67,183.43,50.69
2014-06-29,F-1C,1575.24,2738.66,658.13,3206.14,824.62,185.18,50.57
2014-06-30,F-1C,1558.9,2775.79,613.52,3200.75,805.79,185.76,50.99
2014-07-01,F-1C,1566.6,2657.91,604.26,3122.09,797.01,187.91,51.53
2014-07-03,F-1C,1556.15,2678.32,634.24,3188.27,812.11,184.17,50.77
2014-07-04,F-1C,1526.19,2729.1,635.81,3228.66,868.23,185.64,50.59
2014-07-05,F-1C,1677.32,2928.1,577.36,3250.54,862.54,186.67,51.41
2014-07-05,F-1C,1547.65,2509.98,642.94,3210.4,798.85,187.26,50.51
2014-07-06,F-1C,1320.385,2656.89,585.24,3229.17,824.13,184.65,51.1
2014-07-07,F-1C,1452.04,2627.88,652.69,3198.54,816.97,185.11,48.19
2014-07-08,F-1C,1495.32,2645.25,651.74,3199.18,818.3,184.78,49.21
2014-07-10,F-1C,1483.36,2601.29,672.54,3206.16,835.09,187.76,51.48
2014-07-11,F-1C,1497.52,2660.25,649.43,3240.38,801.35,186.46,50.25
2014-07-12,F-1C,1454.05,2685.7,611.87,3275.12,793.18,186.16,49.88
2014-07-13,F-1C,1458.14,2500.57,643.52,3185.88,771.28,186.81,49.58
2014-07-14,F-1C,1555.94,2591.73,621.78,3198.75,814.8,188.08,48.61
2014-07-15,F-1C,1557.09,2700.13,754.59,3190.56,819.7,183.86,50.13
2014-07-16,F-1C,1498.34,2812.4,651.88,3211.3,791.19,185.33,50.14
2014-07-17,F-1C,1556.39,2592.77,631.24,3227.83,791.19,185.34,50.07
2014-07-18,F-1C,1503.13,2611.25,643.51,3232.63,827.77,188.86,51.41
2014-07-19,F-1C,1461.43,2687.0,641.98,3224.31,839.88,185.07,51.04
2014-07-20,F-1C,1556.89,2805.08,676.75,3221.69,791.19,186.96,50.11
2014-07-21,F-1C,1471.16,2610.2,637.56,3150.57,775.96,187.4,50.3
2014-07-22,F-1C,1455.05,2627.9,668.74,3196.59,787.87,188.07,50.42
2014-07-23,F-1C,1490.11,2718.07,649.6,3236.76,811.64,188.02,51.88
2014-07-24,F-1C,1422.45,2687.95,673.74,3200.08,812.32,186.07,51.78
2014-07-25,F-1C,1098.71,2646.81,638.72,3212.83,828.44,190.84,52.96
2014-07-26,F-1C,1374.59,2647.3,706.14,3215.52,820.31,188.04,47.23
2014-07-27,F-1C,1491.04,2617.65,670.86,3220.49,794.96,188.82,48.41
2014-07-28,F-1C,1477.76,2522.31,904.67,3237.86,802.97,184.02,50.45
2014-07-29,F-1C,1535.06,2515.03,651.82,3000.575,796.62,184.61,43.62
2014-07-30,F-1C,1489.37,2654.79,641.31,3235.82,846.41,186.13,53.17
2014-07-31,F-1C,1428.87,2638.86,659.92,3257.35,806.63,186.49,47.31
2014-08-01,F-1C,2007.05,3266.19,424.21,3000.575,852.55,188.6,49.56
2014-08-01,F-1C,1548.19,2771.98,710.6,3218.44,799.82,187.9,49.95
2014-08-02,F-1C,1518.35,2707.01,666.34,3217.01,774.85,180.69,52.22
2014-08-03,F-1C,1428.76,2130.33,663.8,3183.34,821.45,183.51,49.94
2014-08-04,F-1C,1476.8,2760.06,660.48,3175.73,816.84,188.53,48.7
2014-08-05,F-1C,1505.52,2452.82,658.29,3195.5,783.16,183.89,48.17
2014-08-07,F-1C,1431.24,2712.45,663.82,3181.13,815.01,185.48,40.77
2014-08-08,F-1C,1430.43,2669.93,702.96,3192.15,788.71,187.03,47.66
2014-08-09,F-1C,1453.79,2604.35,669.21,3153.55,817.53,185.8,46.98
2014-08-10,F-1C,1387.61,2567.04,721.45,3163.37,809.91,186.44,45.77
2014-08-10,F-1C,1326.98,2461.35,777.88,3091.84,774.85,188.6,50.62
2014-08-11,F-1C,1343.26,2505.93,696.37,3180.59,824.0,186.43,48.62
2014-08-12,F-1C,1398.85,2655.55,674.39,3143.48,821.06,183.57,56.47
2014-08-13,F-1C,1098.71,2609.34,677.95,3166.16,800.95,185.16,51.28
2014-08-14,F-1C,1401.88,2659.64,748.73,3165.57,812.29,187.0,54.67
2014-08-15,F-1C,1417.89,2508.65,671.49,3171.52,800.04,190.26,54.63
2014-08-16,F-1C,1367.96,2514.85,699.63,3214.0,809.91,184.95,48.89
2014-08-17,F-1C,1385.93,2616.65,685.32,3155.59,774.85,184.7,44.82
2014-08-18,F-1C,1419.77,2536.36,711.08,3179.25,807.66,186.12,47.12
2014-08-19,F-1C,1416.87,2632.45,682.72,3168.38,828.83,187.25,53.24
2014-08-20,F-1C,1381.97,2412.24,707.55,3178.25,835.2,188.62,50.75
2014-08-21,F-1C,1446.33,2540.11,680.5,3169.72,827.24,187.55,51.96
2014-08-22,F-1C,1384.36,2530.97,715.9,3148.62,797.04,186.84,51.43
2014-08-23,F-1C,1393.46,2455.92,692.86,3169.95,810.95,186.72,50.76
2014-08-24,F-1C,1401.43,2566.95,708.02,3197.12,774.85,183.86,48.47
2014-08-25,F-1C,1400.47,2521.16,746.12,3168.2,790.54,187.43,50.04
2014-08-26,F-1C,1411.75,2683.92,718.63,3151.19,767.3,185.91,53.21
2014-08-27,F-1C,1389.68,2356.87,702.99,3188.9,817.09,184.56,47.48
2014-08-28,F-1C,1371.42,2479.84,673.71,3180.85,831.08,183.2,52.82
2014-08-29,F-1C,1384.52,2627.65,716.4,3160.83,813.15,184.66,52.74
2014-08-30,F-1C,1331.31,2494.26,727.48,3140.31,821.02,188.99,51.92
2014-08-31,F-1C,1288.3,2533.29,738.91,3114.91,819.7,187.57,45.04
2014-09-01,F-1C,1424.54,2541.84,732.69,3124.24,808.0,182.83,42.52
2014-09-02,F-1C,1387.6,2604.87,726.08,3150.15,801.01,184.35,48.5
2014-09-04,F-1C,1409.0,2479.52,730.51,3000.575,786.07,186.42,43.62
2014-09-04,F-1C,1722.17,2950.04,491.23,3376.97,814.42,184.61,54.78
2014-09-05,F-1C,1358.95,2378.74,740.65,3180.03,786.77,187.1,51.72
2014-09-06,F-1C,1416.63,2521.22,741.09,3127.86,805.47,185.31,47.79
2014-09-07,F-1C,1371.06,2528.68,751.02,3154.12,816.41,187.55,50.27
2014-09-07,F-1C,1556.81,2738.34,692.81,3185.52,813.57,185.98,48.38
2014-09-08,F-1C,1276.51,2442.67,758.58,3134.43,821.05,186.7,49.25
2014-09-09,F-1C,1309.11,2592.27,765.43,3113.38,791.19,184.31,49.62
2014-09-11,F-1C,1365.64,2479.75,729.45,3128.27,758.47,185.8,49.22
2014-09-12,F-1C,1380.65,2385.83,716.59,3120.19,798.29,186.25,50.1
2014-09-13,F-1C,1326.94,2520.29,790.44,3150.42,798.55,184.68,48.88
2014-09-14,F-1C,1309.28,2500.21,739.24,3073.05,801.55,188.39,50.0
2014-09-15,F-1C,1318.72,2365.35,701.35,3161.68,798.05,187.78,49.55
2014-09-16,F-1C,1395.21,2429.03,742.76,3122.09,787.28,186.93,49.57
2014-09-17,F-1C,1236.48,2398.23,735.07,3180.03,791.39,187.26,48.99
2014-09-18,F-1C,1406.04,2558.71,766.07,3081.19,805.11,187.76,48.78
2014-09-19,F-1C,1374.34,2467.67,729.0,3081.12,787.83,191.6,48.46
2014-09-20,F-1C,1242.34,2518.48,762.35,3169.47,809.92,187.93,48.3
2014-09-21,F-1C,1300.83,2381.23,724.69,3121.7,828.94,187.3,50.55
2014-09-22,F-1C,1244.94,2398.16,711.22,3163.64,831.74,187.8,49.77
2014-09-23,F-1C,1407.82,2430.23,724.99,3098.39,791.19,186.34,48.36
2014-09-24,F-1C,1260.89,2544.44,747.61,3104.73,821.76,183.87,50.27
2014-09-25,F-1C,1392.96,2595.57,742.72,3123.59,776.39,186.25,48.64
2014-09-26,F-1C,1322.05,2473.89,731.35,3112.93,763.01,185.53,49.55
2014-09-27,F-1C,1336.42,2457.21,772.73,3076.42,769.12,187.3,49.85
2014-09-28,F-1C,1331.96,2340.51,787.46,3128.94,794.23,188.7,49.31
2014-09-29,F-1C,1276.95,2330.92,740.05,3122.09,808.26,188.16,48.4
2014-09-30,F-1C,1309.86,2340.09,754.59,3189.1,803.98,188.04,50.13
2014-10-02,F-1C,1327.42,2564.09,754.15,3125.12,784.36,187.99,49.02
2014-10-03,F-1C,1253.34,2418.39,770.54,3123.2,818.35,183.34,48.91
2014-10-04,F-1C,1341.8,2358.37,768.88,3041.77,851.51,185.7,52.25
2014-10-05,F-1C,1290.82,2446.49,795.26,3148.16,792.87,185.97,48.98
2014-10-06,F-1C,1422.18,2425.62,805.9,3104.77,815.76,188.44,48.99
2014-10-07,F-1C,1266.02,2498.8,757.48,3084.0,782.81,185.17,51.13
2014-10-09,F-1C,1321.58,2339.67,775.03,3083.87,795.53,182.96,43.94
2014-10-09,F-1C,1349.69,2299.14,740.27,3146.93,832.45,187.46,51.64
2014-10-10,F-1C,1287.41,2354.1,774.28,3103.25,796.38,187.46,47.28
2014-10-11,F-1C,1283.86,2511.32,773.55,3100.74,797.19,185.92,46.52
2014-10-12,F-1C,1182.7,2089.48,845.42,3000.575,771.52,186.27,47.88
2014-10-12,F-1C,1242.8,2330.79,792.29,3086.04,792.21,187.64,47.61
2014-10-13,F-1C,1322.25,2265.55,773.53,3106.13,795.53,182.93,52.45
2014-10-14,F-1C,1245.73,2412.57,777.68,3132.7,838.58,183.66,46.51
2014-10-15,F-1C,1295.8,2294.3,794.51,3126.71,805.79,186.71,52.82
2014-10-16,F-1C,1226.45,2384.91,765.44,3126.93,757.69,186.18,49.37
2014-10-17,F-1C,1234.75,2326.55,781.87,3127.7,773.47,184.52,51.78
2014-10-18,F-1C,1266.37,2311.41,797.48,3083.23,814.44,184.91,48.08
2014-10-19,F-1C,1325.16,2352.49,799.37,3094.73,833.28,189.38,44.87
2014-10-20,F-1C,1301.93,2302.25,789.43,3097.57,772.31,188.36,49.35
2014-10-21,F-1C,1259.48,2329.49,789.74,3106.58,790.68,180.57,48.58
2014-10-22,F-1C,1199.55,2130.33,760.19,3050.67,817.64,185.6,47.04
2014-10-23,F-1C,1293.66,2328.86,831.71,3083.79,800.01,188.18,53.51
2014-10-24,F-1C,1230.35,2322.06,816.47,3000.575,813.97,183.5,53.03
2014-10-25,F-1C,1227.3,2367.88,789.36,3063.27,763.98,182.75,48.73
2014-10-26,F-1C,1187.03,2258.78,789.31,3009.29,807.58,181.42,47.94
2014-10-27,F-1C,1261.97,2389.53,794.18,3147.81,796.09,188.35,46.37
2014-10-28,F-1C,1265.18,2467.3,791.6,3091.86,811.14,184.76,42.07
2014-10-29,F-1C,1269.86,2419.59,770.67,3105.02,804.83,181.69,45.77
2014-10-30,F-1C,1235.22,2323.14,784.18,3059.83,824.48,186.02,46.32
2014-10-31,F-1C,1250.89,2377.49,801.42,3076.39,777.82,184.92,46.69
2014-11-01,F-1C,1267.83,2252.01,809.6,3123.77,797.09,185.5,44.67
2014-11-02,F-1C,1327.74,2234.96,820.05,3099.36,785.61,185.71,43.36
2014-11-03,F-1C,1263.29,2375.18,782.65,3074.35,790.86,187.41,48.56
2014-11-04,F-1C,1163.42,2280.22,810.27,3103.09,777.52,190.62,42.36
2014-11-06,F-1C,1257.25,2282.78,776.12,3053.99,792.54,186.57,48.64
2014-11-06,F-1C,1660.0,2671.09,603.3,3211.03,812.35,186.58,48.43
2014-11-07,F-1C,1266.05,2267.23,810.34,3091.48,787.46,183.75,45.68
2014-11-08,F-1C,1278.13,2422.16,834.66,3080.1,764.86,186.23,53.31
2014-11-09,F-1C,1265.48,2130.33,825.07,3033.88,774.78,184.07,49.97
2014-11-10,F-1C,1268.23,2292.55,796.39,3070.19,778.72,184.65,49.59
2014-11-11,F-1C,1192.6,2176.6,788.31,3021.51,793.17,186.54,48.5
2014-11-13,F-1C,1190.96,2248.2,787.35,3068.22,792.02,185.86,43.57
2014-11-14,F-1C,1323.62,2337.02,871.91,3041.92,806.67,187.8,47.98
